condition,condition_label,N,MT_single,TPe_single,ER_single,MT_included,TPe_included,MT_omission_reason,TPe_omission_reason
width_wide,Wide-width A1000 W50 ID20 / C1,181,0.525,39.801963639044295,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,182,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,183,0.773,31.58333319840871,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,184,0.577,39.63560609154618,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,185,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,186,0.832,39.16706472531788,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,187,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,188,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,189,0.633,144.47774342367174,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,190,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,191,0.723,28.174954535144007,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,192,0.871,35.701608026653304,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,193,0.805,52.843967512185806,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,194,0.69,79.93417314206704,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,195,0.819,56.16689565372034,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,196,0.765,31.78649168942896,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,197,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,198,0.71,33.565040387459945,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,199,0.589,48.972559002352405,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,200,0.617,54.33529932304411,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,201,0.7,73.51881595648796,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,202,0.616,39.80107040843024,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,203,0.615,79.21481693840315,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,204,0.667,15.990203319293972,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,205,0.701,70.61277923454938,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,206,0.973,27.635208822343515,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,207,0.69,27.312601550191065,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,208,0.772,83.08511804906617,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,209,0.773,43.66916517859513,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,210,0.74,83.18991339391575,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,211,0.676,50.05853727416287,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,212,0.665,130.00275972555002,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,213,0.755,67.36120837970883,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,214,0.678,78.24354584439723,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,215,0.689,79.35764348572874,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,216,0.662,63.75131804350036,0.0,True,True,included,included
